Country,Region,Happiness Rank,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Happiness Score
Switzerland,Western Europe,1,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,7.587
Iceland,Western Europe,2,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,7.561
Denmark,Western Europe,3,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,7.527
Norway,Western Europe,4,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,7.522
Canada,North America,5,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,7.427
Finland,Western Europe,6,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,7.406
Netherlands,Western Europe,7,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,7.378
Sweden,Western Europe,8,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,7.364
New Zealand,Australia and New Zealand,9,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,7.286
Australia,Australia and New Zealand,10,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,7.284
Israel,Middle East and Northern Africa,11,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,7.278
Costa Rica,Latin America and Caribbean,12,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,7.226
Austria,Western Europe,13,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,7.2
Mexico,Latin America and Caribbean,14,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,7.187
United States,North America,15,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,7.119
Brazil,Latin America and Caribbean,16,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,6.983
Luxembourg,Western Europe,17,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,6.946
Ireland,Western Europe,18,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,6.94
Belgium,Western Europe,19,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,6.937
United Arab Emirates,Middle East and Northern Africa,20,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,6.901
United Kingdom,Western Europe,21,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,6.867
Oman,Middle East and Northern Africa,22,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,6.853
